"","Position","Posted","Min.Salary.Lbs","Max.Salary.Lbs","Salary.Period","Location","Contract","ad_poster","ad_poster_type","job_Knowledge_Domain"
"350","Senior Data Science Consultant ",2021-02-27,60000,90000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Information Technology"
"351","Data Science Consultant ",2021-02-23,60000,90000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Information Technology"
"352","Senior Data Engineer ",2021-02-22,50000,80000,"per annum","London","Permanent, full-time","Data Idols","Recruitment consultancy","Information Technology"
"353","Azure Data Engineer ",2021-03-23,60000,75000,"per annum","London","Permanent, full-time","Tria Recruitment ","Recruitment consultancy","Information Technology"
"354","Insights Consultant ",2021-02-09,35000,45000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Information Technology"
"355","Senior DevOps Engineer ",2021-02-09,75000,85000,"per annum","London","Permanent, full-time","Hays Specialist Recruitment Limited","Recruitment consultancy","Information Technology"
"356","Head of Data Science ",2021-03-19,80000,1e+05,"per annum","London","Permanent, full-time","Shift F5 Limited","Recruitment consultancy","Information Technology"
"357","AWS Developer, 6 month contract, Fully remote, market rates ",2021-02-14,400,650,"per day","London","Contract, full-time","Riley Recruitment ","Recruitment consultancy","Information Technology"
"358","Contract Technology Recruiter - Data ",2021-02-24,20000,30000,"per annum","London","Permanent, full-time","Gattaca","Recruitment consultancy","Sales"
"359","Data Engineer ",2021-02-18,50000,70000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Information Technology"
"360","Digital Implementation Specialist ",2021-02-18,40000,50000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Information Technology"
"361","Senior Data Consultant ",2021-03-08,50000,60000,"per annum","London","Permanent, full-time","Harnham","Recruitment consultancy","Information Technology"
"362","Corporate Development Manager - Fintech ",2021-03-18,70000,90000,"per annum","London","Permanent, full-time","Handle Recruitment","Recruitment consultancy","Financial Services"
"363","Epidemiology Analyst ",2021-03-05,500,600,"per day","London","Contract, full-time","REED Talent Solutions","Direct employer","Information Technology"
"364","Quant Trader ",2021-02-12,70000,120000,"per annum","London","Permanent, full-time","N P Associates","Recruitment consultancy","Engineering"
"365","Senior Analytics Manager ",2021-03-04,75000,85000,"per annum","London","Permanent, full-time","X4 Group","Recruitment consultancy","Marketing And Media"
